GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AGS001,AGS002,AGS003,AGS004,AGS005,AGS006,AGS007,AGS008,AGS009,AGS010,AGS011,AGS012,AGS013,AGS014,AGS015,AGS016,AGS017,AGS018,AGS019,AGS020,AGS021,AGT001,AGU001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area name,Holding 1 slave,Holding 2 slaves,Holding 3 slaves,Holding 4 slaves,Holding 5 slaves,Holding 6 slaves,Holding 7 slaves,Holding 8 slaves,Holding 9 slaves,Holding 10 to 14 slaves,Holding 15 to 19 slaves,Holding 20 to 29 slaves,Holding 30 to 39 slaves,Holding 40 to 49 slaves,Holding 50 to 69 slaves,Holding 70 to 99 slaves,Holding 100 to 199 slaves,Holding 200 to 299 slaves,Holding 300 to 499 slaves,Holding 500 to 999 slaves,Holding 1000 or more slaves,Total,Total
"G010","1860","Alabama","010",,,"Alabama",5607,3663,2805,2329,1986,1729,1411,1227,1036,3742,2164,2323,1253,768,791,550,312,24,10,0,0,33730,435080
"G050","1860","Arkansas","050",,,"Arkansas",2339,1503,1070,894,730,569,463,404,369,1136,641,586,275,157,161,118,59,6,0,1,0,11481,111115
"G060","1860","California","060",,,"California",,,,,,,,,,,,,,,,,,,,,,,
"G090","1860","Connecticut","090",,,"Connecticut",,,,,,,,,,,,,,,,,,,,,,,
"G095","1860","Dakota Territory","095",,,"Dakota Territory",,,,,,,,,,,,,,,,,,,,,,,
"G100","1860","Delaware","100",,,"Delaware",237,114,74,51,34,19,15,10,8,17,8,0,0,0,0,0,0,0,0,0,0,587,1798
"G110","1860","District Of Columbia","110",,,"District of Columbia",654,225,112,72,53,31,24,12,11,20,7,7,0,0,1,0,0,0,0,0,0,1229,3185
"G120","1860","Florida","120",,,"Florida",863,568,437,365,285,270,225,186,169,627,349,333,171,99,116,42,45,2,0,0,0,5152,61745
"G130","1860","Georgia","130",,,"Georgia",6713,4355,3482,2984,2543,2213,1839,1647,1415,4707,2823,2910,1400,739,729,373,181,23,7,1,0,41084,462198
"G170","1860","Illinois","170",,,"Illinois",,,,,,,,,,,,,,,,,,,,,,,
"G180","1860","Indiana","180",,,"Indiana",,,,,,,,,,,,,,,,,,,,,,,
"G190","1860","Iowa","190",,,"Iowa",,,,,,,,,,,,,,,,,,,,,,,
"G205","1860","Kansas Territory","205",,,"Kansas Territory",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"G210","1860","Kentucky","210",,,"Kentucky",9306,5430,4009,3281,2694,2293,1951,1582,1273,3691,1580,1093,296,96,51,12,6,1,0,0,0,38645,225483
"G220","1860","Louisiana","220",,,"Louisianna",4092,2573,2034,1536,1310,1103,858,771,609,2065,1157,1241,695,413,560,469,460,63,20,4,0,22033,331726
"G230","1860","Maine","230",,,"Maine",,,,,,,,,,,,,,,,,,,,,,,
"G240","1860","Maryland","240",,,"Maryland",4119,1952,1279,1023,815,666,523,446,380,1173,545,487,179,81,75,24,15,0,1,0,0,13783,87189
"G250","1860","Massachusetts","250",,,"Massachusetts",,,,,,,,,,,,,,,,,,,,,,,
"G260","1860","Michigan","260",,,"Michigan",,,,,,,,,,,,,,,,,,,,,,,
"G270","1860","Minnesota","270",,,"Minnesota",,,,,,,,,,,,,,,,,,,,,,,
"G280","1860","Mississippi","280",,,"Mississippi",4856,3201,2503,2129,1809,1585,1303,1149,1024,3432,2057,2322,1143,755,814,545,279,28,8,1,0,30943,436631
"G290","1860","Missouri","290",,,"Missouri",6893,3754,2773,2243,1686,1384,1130,877,640,1734,666,349,120,33,26,8,4,0,0,0,0,24320,114931
