id	label	description	x	y	cluster	weight<Citations>	weight<Co-citations>
2138	acad manage j	<table><tr><td>Source:</td><td>acad manage j</td></tr><tr><td>Citations:</td><td>304</td></tr><tr><td>Co-citations:</td><td>15256</td></tr></table>	0.8861	0.0191	1	304	15256
2140	acad manage rev	<table><tr><td>Source:</td><td>acad manage rev</td></tr><tr><td>Citations:</td><td>431</td></tr><tr><td>Co-citations:</td><td>19656</td></tr></table>	0.8574	0.0185	1	431	19656
2424	acta psychiat scand	<table><tr><td>Source:</td><td>acta psychiat scand</td></tr><tr><td>Citations:</td><td>105</td></tr><tr><td>Co-citations:</td><td>15125</td></tr></table>	-0.9765	-0.4748	3	105	15125
2431	acta psychol	<table><tr><td>Source:</td><td>acta psychol</td></tr><tr><td>Citations:</td><td>98</td></tr><tr><td>Co-citations:</td><td>6504</td></tr></table>	-0.3371	-0.1079	2	98	6504
2510	activists borders ad	<table><tr><td>Source:</td><td>activists borders ad</td></tr><tr><td>Citations:</td><td>70</td></tr><tr><td>Co-citations:</td><td>2299</td></tr></table>	0.9353	0.0648	1	70	2299
2579	addiction	<table><tr><td>Source:</td><td>addiction</td></tr><tr><td>Citations:</td><td>99</td></tr><tr><td>Co-citations:</td><td>3965</td></tr></table>	-0.5538	-0.276	3	99	3965
2627	admin sci quart	<table><tr><td>Source:</td><td>admin sci quart</td></tr><tr><td>Citations:</td><td>678</td></tr><tr><td>Co-citations:</td><td>31924</td></tr></table>	0.8779	0.0119	1	678	31924
2724	adv exp soc psychol	<table><tr><td>Source:</td><td>adv exp soc psychol</td></tr><tr><td>Citations:</td><td>66</td></tr><tr><td>Co-citations:</td><td>5061</td></tr></table>	0.0763	-0.0951	2	66	5061
2775	adv neurol	<table><tr><td>Source:</td><td>adv neurol</td></tr><tr><td>Citations:</td><td>46</td></tr><tr><td>Co-citations:</td><td>2852</td></tr></table>	-0.9511	-0.2308	3	46	2852
2830	adv stud behav	<table><tr><td>Source:</td><td>adv stud behav</td></tr><tr><td>Citations:</td><td>95</td></tr><tr><td>Co-citations:</td><td>4246</td></tr></table>	-0.7047	0.3464	4	95	4246
2900	af	<table><tr><td>Source:</td><td>af</td></tr><tr><td>Citations:</td><td>22</td></tr><tr><td>Co-citations:</td><td>4928</td></tr></table>	1.3553	0.0021	1	22	4928
3220	agr ecosyst environ	<table><tr><td>Source:</td><td>agr ecosyst environ</td></tr><tr><td>Citations:</td><td>50</td></tr><tr><td>Co-citations:</td><td>2351</td></tr></table>	-0.1744	0.4643	4	50	2351
3342	agroforest syst	<table><tr><td>Source:</td><td>agroforest syst</td></tr><tr><td>Citations:</td><td>40</td></tr><tr><td>Co-citations:</td><td>2831</td></tr></table>	-0.2724	0.5038	4	40	2831
3544	alcohol clin exp res	<table><tr><td>Source:</td><td>alcohol clin exp res</td></tr><tr><td>Citations:</td><td>109</td></tr><tr><td>Co-citations:</td><td>4346</td></tr></table>	-0.7031	-0.2588	3	109	4346
3755	am anthropol	<table><tr><td>Source:</td><td>am anthropol</td></tr><tr><td>Citations:</td><td>139</td></tr><tr><td>Co-citations:</td><td>4015</td></tr></table>	0.6322	0.0424	1	139	4015
3784	am behav sci	<table><tr><td>Source:</td><td>am behav sci</td></tr><tr><td>Citations:</td><td>201</td></tr><tr><td>Co-citations:</td><td>8249</td></tr></table>	0.8347	0.0313	1	201	8249
3861	am econ rev	<table><tr><td>Source:</td><td>am econ rev</td></tr><tr><td>Citations:</td><td>101</td></tr><tr><td>Co-citations:</td><td>5895</td></tr></table>	0.6747	-0.0366	1	101	5895
3879	am ethnol	<table><tr><td>Source:</td><td>am ethnol</td></tr><tr><td>Citations:</td><td>100</td></tr><tr><td>Co-citations:</td><td>2011</td></tr></table>	0.8272	0.0767	1	100	2011
3926	am hist rev	<table><tr><td>Source:</td><td>am hist rev</td></tr><tr><td>Citations:</td><td>56</td></tr><tr><td>Co-citations:</td><td>2816</td></tr></table>	0.9885	0.0338	1	56	2816
3972	am j commun psychol	<table><tr><td>Source:</td><td>am j commun psychol</td></tr><tr><td>Citations:</td><td>85</td></tr><tr><td>Co-citations:</td><td>2584</td></tr></table>	0.3034	-0.0592	1	85	2584
3986	am j epidemiol	<table><tr><td>Source:</td><td>am j epidemiol</td></tr><tr><td>Citations:</td><td>95</td></tr><tr><td>Co-citations:</td><td>2804</td></tr></table>	-0.2731	-0.0891	3	95	2804
4002	am j hum genet	<table><tr><td>Source:</td><td>am j hum genet</td></tr><tr><td>Citations:</td><td>100</td></tr><tr><td>Co-citations:</td><td>5401</td></tr></table>	-0.6726	0.0675	6	100	5401
4019	am j med genet	<table><tr><td>Source:</td><td>am j med genet</td></tr><tr><td>Citations:</td><td>71</td></tr><tr><td>Co-citations:</td><td>4001</td></tr></table>	-0.8246	-0.1512	3	71	4001
