SQLDATE,Actor1CountryCode,Actor1KnownGroupCode,EVENTS
20151227,PSE,,3
20160229,USA,,2
20160208,AUS,,2
20150919,MDA,,3
20160214,PSE,,5
20160219,ISR,,5
20160219,IRL,,4
20151002,MNG,,1
20151002,CAN,,1
20160228,TUN,,2
20160228,EGY,,1
20141107,CHN,,1
20141107,TWN,,2
20151120,POL,,2
20151008,ISR,,19
20150829,PSE,,1
20151110,ISR,,5
20151223,ISR,,2
20160121,PAK,,1
20141023,USA,,4
20141025,ISR,,1
20151221,ETH,,4
20160102,ZWE,,3
20151105,,,134
20141021,USA,,1
20150925,CHN,,5
20160111,,,140
20141221,,,132
20160110,USA,,1
20160106,IRL,,2
20141128,EGY,,1
20160125,SAU,,2
20160125,DEU,,2
20141029,,,97
20141219,PSE,,12
20151024,COG,,1
20150917,KHM,,2
20151028,AGO,,2
20160215,NLD,,2
20151129,CHN,,1
20150128,JOR,,1
20151023,USA,,2
20151023,ISR,,7
20141113,USA,,3
20141118,ISR,,3
20151106,KEN,,1
20141210,NZL,,1
20141014,ARG,,1
20141014,ISR,,10
20141015,LBY,,1
20151019,IRL,,1
20151019,GRC,,1
20160207,FRA,,4
20160207,IRQ,,2
20150918,KHM,,2
20150918,IRQ,,3
20140918,YEM,,1
20160217,TUN,,1
20150926,,,69
20160119,NGA,,2
20130923,,,112
20150416,,,171
20150414,,,147
20150407,,,108
20150425,,,85
20150213,,,74
20150206,,,90
20150608,,,104
20160211,KOR,,4
20160218,IRL,,2
20151005,ISR,,4
20151005,EUR,,1
20160104,CHN,,1
20151014,CUB,,2
20151127,PSE,,2
20160301,PSE,,1
20140930,,,142
20160126,GRC,,2
20160126,TUR,,6
20150126,PSE,,1
20141122,THA,,1
20141123,MEX,,1
20141124,MEX,,2
20151124,IND,,1
20140920,PSE,,2
20160206,NZL,,1
20160204,,,128
20151010,TUR,,7
20150224,SYR,,2
20150301,NPL,,1
20150608,PAK,,1
20150406,ARM,,3
20150304,UKR,,1
20150922,UKR,,1
20150602,BDI,,3
20141030,ISR,,1
20141031,EGY,,5
20141011,ARM,,1
20150325,JPN,,1
20141006,KHM,,12
20150927,PSE,,5
20141029,ALB,,1
20141029,BFA,,2
20150525,VEN,,2
20150113,BHR,,4
20151204,PSE,,2
20150407,CUB,,2
20150331,ISR,,2
20141103,ISR,,7
20150222,THA,,4
20150315,CAN,,3
20150426,USA,,3
20150316,GRC,,1
20150317,IRN,,1
20140421,,,75
20160203,SEN,,1
20150108,PSE,,2
20141204,MYS,,1
20151222,NPL,,2
20151222,TUR,,6
20150502,USA,,6
20151130,ISR,,1
20150316,PAK,,4
20150513,MKD,,1
20150325,ISR,,2
20150609,ISR,,2
20140812,TUR,,1
20140531,,,85
20140621,PSE,,3
20140701,,,79
20140614,,,50
20140815,,,163
20140614,USA,,2
20140824,,,76
20140514,,,114
20140714,,,99
20140427,PHL,,4
20140628,,,37
20140507,,,104
20140811,PSE,,1
20140512,,,83
20140512,VNM,,2
20140504,PSE,,5
20151015,PSE,,2
20140812,PSE,,6
20140528,ISR,,7
20140528,NGA,,1
20140813,ZAF,,1
20140525,PSE,,6
20140502,KHM,,4
20150414,TJK,,1
20150207,HTI,,2
20140715,MYS,,8
20140721,USA,,6
20140516,TUR,,5
20140518,FRA,,2
20140727,PSE,,17
20140908,ISR,,3
20140519,THA,,2
20140529,ISR,,10
20150121,IRN,,3
20150717,,,85
20150619,PAK,,1
20150714,,,150
20150814,,,100
20150831,,,122
20150710,USA,,5
20150726,,,125
20150712,PAK,,1
20150809,USA,,4
20150802,ISR,,16
20150821,PRK,,8
20150827,UKR,,2
20150708,QAT,,4
20150831,PSE,,8
20150427,MMR,,1
20150207,YEM,,2
20140607,PSE,,5
20140514,PAK,,2
20140714,PSE,,7
20140714,USA,,3
20140623,PAK,,2
20140702,USA,,6
20140428,DZA,,1
20140619,PSE,,4
20141017,UKR,,1
20140613,SDN,,7
20140609,PSE,,4
20160222,GRC,,1
20150322,CHN,,1
20150601,IND,,1
20141003,KHM,,1
20150909,PSE,,7
20150824,IRN,,1
20150815,IDN,,3
20150205,EGY,,1
20141108,EGY,,2
20131109,EGY,,4
20141109,MEX,,1
20140729,PAK,,1
20140706,USA,,1
20140516,NZL,,1
20140829,BHR,,2
20140830,KOR,,1
20150713,ECU,,4
20150627,BHR,,2
20150624,ARM,,7
20150629,ISR,,11
20150817,PSE,,12
20150617,PSE,,1
20150907,BEL,,3
20150809,GBR,,2
20150828,USA,,2
20150909,TUR,,2
20150204,IND,,1
20150118,,,147
20150910,ISR,,3
20150813,ISR,,3
20150815,USA,,1
20150430,DEU,,1
20150520,MMR,,1
20090618,,,83
20110214,USA,,2
20100605,,,35
20130213,BGD,,1
20090421,,,39
20110815,,,83
20011011,,,27
20110403,,,135
20110407,LBN,,2
20010521,,,6
20111112,CAN,,3
20030610,,,19
20010625,,,16
20130925,,,76
20130116,,,89
20130824,,,97
20110527,,,132
20130722,,,122
20120906,,,39
19930807,,,10
20100222,MMR,,1
20130811,,,76
20120729,,,107
20130822,,,78
19941213,,,3
20020122,TUR,,1
20100130,,,46
20140412,,,58
19951114,,,4
20030329,,,53
20120221,PSE,,61
20110818,,,147
20040219,,,22
20040223,,,8
20130215,,,119
20130408,,,25
20090402,,,80
20111009,USA,,5
20100909,,,90
20111118,USA,,20
20080513,,,11
20121230,,,58
19810504,,,10
19810512,,,5
20110707,,,87
19980512,,,10
20071128,,,26
20110108,,,27
20031001,,,9
20100910,,,98
20090924,,,71
19910326,,,2
20120508,,,96
20080501,,,56
20120916,YEM,,4
20120604,,,62
20000724,,,5
20110628,,,107
19991115,,,14
20070408,,,35
20091006,,,69
20111004,,,140
20110610,,,115
20030217,,,11
20120926,GRC,,7
20121114,,,126
20000912,,,15
20070918,,,25
20091029,,,30
20000926,,,18
20081114,,,22
20001128,HTI,,1
20100825,,,66
20051130,,,13
20130731,,,123
19871213,,,2
20080311,,,44
20031115,,,8
20150704,ISR,,1
20150827,USA,,1
20150828,PSE,,2
20110308,,,129
20120921,PAK,,11
20090422,BLR,,2
19950408,ZWE,,1
20111111,,,85
20120920,,,181
20090305,,,24
19901126,,,6
20130801,USA,,4
20090817,,,65
19920520,,,14
20110719,,,59
20090927,PSE,,19
20081008,PAK,,2
20030323,,,42
20130807,,,112
20120223,,,97
19880422,,,5
20100121,,,39
20100910,AFG,,11
20140214,UKR,,2
20120705,,,70
20110918,,,63
20140330,,,99
20081004,,,22
20010211,,,16
19980714,,,3
20011110,,,11
20110710,,,120
19950824,TMP,,1
20090409,,,131
20061127,,,23
20120724,,,52
20090401,,,84
20100108,,,56
20110112,,,71
20110909,,,130
20071229,,,19
20110226,,,231
20070419,,,43
19980923,,,11
20121216,,,40
20130814,TUR,,1
20071021,,,18
20110221,LBY,,14
20131028,,,121
20051023,,,6
20130819,,,110
20101107,,,110
20070618,,,19
