GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ACZ001,ACZ002,ACZ003,ACZ004,ACZ005,ACZ006,ACZ007,ACZ008,ACZ009,ACZ010,ACZ011,ACZ012,ACZ013,ACZ014,ACZ015,ACZ016,ACZ017,ACZ018,ACZ019,ACZ020,ACZ021,ACZ022,ACZ023,ACZ024,ACS001,ACS002,ACS003,ACU001,ACU002,ACU003,ACU004
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area name,Free >> Male >> Under 10 years of age,Free >> Male >> 10 to 23 years of age,Free >> Male >> 24 to 35 years of age,Free >> Male >> 36 to 54 years of age,Free >> Male >> 55 to 99 years of age,Free >> Male >> 100 years of age and over,Free >> Female >> Under 10 years of age,Free >> Female >> 10 to 23 years of age,Free >> Female >> 24 to 35 years of age,Free >> Female >> 36 to 54 years of age,Free >> Female >> 55 to 99 years of age,Free >> Female >> 100 years of age and over,Slave >> Male >> Under 10 years of age,Slave >> Male >> 10 to 23 years of age,Slave >> Male >> 24 to 35 years of age,Slave >> Male >> 36 to 54 years of age,Slave >> Male >> 55 to 99 years of age,Slave >> Male >> 100 years of age and over,Slave >> Female >> Under 10 years of age,Slave >> Female >> 10 to 23 years of age,Slave >> Female >> 24 to 35 years of age,Slave >> Female >> 36 to 54 years of age,Slave >> Female >> 55 to 99 years of age,Slave >> Female >> 100 years of age and over,White,Nonwhite: Free,Nonwhite: Slave,Free >> Male,Free >> Female,Slave >> Male,Slave >> Female
"G010","1840","Alabama","010",,,"Alabama",301,296,170,152,107,4,271,313,188,124,104,9,43767,41293,25812,12802,3626,60,43663,40818,26491,12023,3130,47,335185,2039,253532,1030,1009,127360,126172
"G050","1840","Arkansas","050",,,"Arkansas",77,56,62,34,16,3,67,60,35,32,21,2,3450,3514,2069,890,182,14,3302,3558,1930,849,174,3,77174,465,19935,248,217,10119,9816
"G090","1840","Connecticut","090",,,"Connecticut",935,1165,710,746,331,4,967,1238,860,715,433,1,0,0,0,5,3,0,0,0,0,1,8,0,301856,8105,17,3891,4214,8,9
"G100","1840","Delaware","100",,,"Delaware",2740,2679,1392,1163,645,7,2618,2457,1415,1127,662,14,442,676,170,53,30,0,375,551,194,76,37,1,58561,16919,2605,8626,8293,1371,1234
"G110","1840","District Of Columbia","110",,,"District of Columbia",1168,948,562,525,237,13,1208,1455,1027,813,390,15,598,747,338,275,96,4,630,977,498,370,158,3,30657,8361,4694,3453,4908,2058,2636
"G125","1840","Florida Territory","125",,,"Florida Territory",108,125,87,49,29,0,108,123,78,75,35,0,4044,4070,2907,1496,512,9,3992,4120,2673,1446,440,8,27943,817,25717,398,419,13038,12679
"G130","1840","Georgia","130",,,"Georgia",427,375,232,195,137,8,375,381,229,192,178,24,48933,43630,24953,16319,5374,126,48445,44348,27557,16265,4922,72,407695,2753,280944,1374,1379,139335,141609
"G170","1840","Illinois","170",,,"Illinois",548,568,377,265,117,1,536,570,311,201,102,2,53,63,30,15,6,1,53,59,20,24,7,0,472254,3598,331,1876,1722,168,163
"G180","1840","Indiana","180",,,"Indiana",1258,1119,620,497,229,8,1112,1100,592,413,215,2,0,0,0,1,0,0,0,2,0,0,0,0,678698,7165,3,3731,3434,1,2
"G195","1840","Iowa Territory","195",,,"Iowa Territory",20,31,22,14,6,0,14,39,8,16,2,0,1,3,1,1,0,0,1,5,3,1,0,0,42924,172,16,93,79,6,10
"G210","1840","Kentucky","210",,,"Kentucky",1048,786,534,754,629,10,936,800,536,680,593,11,32531,31627,15095,9054,2657,40,32713,30818,15058,9645,2998,22,590253,7317,182258,3761,3556,91004,91254
"G220","1840","Louisiana","220",,,"Louisianna",4015,3207,2014,1581,683,26,4163,3679,2971,2164,986,13,22703,23572,24717,12699,2769,69,23158,24804,22373,9441,2114,33,158457,25502,168452,11526,13976,86529,81923
"G230","1840","Maine","230",,,"Maine",149,231,135,137,67,1,147,195,128,109,54,2,0,0,0,0,0,0,0,0,0,0,0,0,500438,1355,0,720,635,0,0
"G240","1840","Maryland","240",,,"Maryland",9421,7733,4785,4686,2514,48,9127,8656,6695,5409,2927,77,14981,15515,7738,5214,2565,55,14546,14425,7575,4735,2351,37,318204,62078,89737,29187,32891,46068,43669
"G250","1840","Massachusetts","250",,,"Massachusetts",908,1119,1444,871,306,6,899,1058,868,771,417,2,0,0,0,0,0,0,0,0,0,0,0,0,729030,8669,0,4654,4015,0,0
"G260","1840","Michigan","260",,,"Michigan",93,103,119,62,16,0,80,98,76,46,13,1,0,0,0,0,0,0,0,0,0,0,0,0,211560,707,0,393,314,0,0
